iter	Passed	Remaining
0	7	740
1	14	703
2	20	648
3	23	575
4	26	502
5	28	449
6	31	413
7	33	383
8	35	360
9	37	340
10	39	317
11	40	298
12	42	282
13	43	267
14	44	254
15	46	243
16	47	233
17	49	223
18	50	215
19	52	209
20	53	202
21	55	196
22	56	190
23	58	184
24	59	178
25	60	173
26	62	168
27	63	164
28	65	159
29	66	155
30	67	151
31	69	147
32	70	143
33	72	139
34	73	136
35	74	132
36	76	129
37	77	126
38	78	123
39	80	120
40	81	117
41	82	113
42	83	110
43	85	108
44	86	105
45	87	103
46	89	100
47	90	98
48	92	96
49	94	94
50	96	92
51	97	90
52	99	88
53	101	86
54	102	83
55	104	81
56	105	79
57	106	77
58	108	75
59	109	72
60	110	70
61	112	68
62	113	66
63	114	64
64	116	62
65	117	60
66	119	58
67	120	56
68	122	54
69	123	53
70	125	51
71	126	49
72	128	47
73	129	45
74	131	43
75	132	41
76	133	39
77	135	38
78	136	36
79	137	34
80	139	32
81	140	30
82	142	29
83	143	27
84	144	25
85	146	23
86	147	22
87	149	20
88	150	18
89	151	16
90	153	15
91	154	13
92	156	11
93	157	10
94	158	8
95	160	6
96	161	4
97	162	3
98	164	1
99	165	0
